"Date","NVDA","GOOG","MSFT","META","TSM","ORCL","PLTR","SMCI","EQIX","TSLA","ISRG","AMZN"
"2014-01-02",0.373843729496002,27.4983215332031,30.7609176635742,54.2840003967285,12.4853820800781,31.4998416900635,NA,1.64400005340576,129.166641235352,10.006667137146,42.223331451416,19.8985004425049
"2014-01-03",0.369365155696869,27.2977275848389,30.5539741516113,54.1351776123047,12.3397798538208,31.4163398742676,NA,1.6710000038147,128.176223754883,9.97066688537598,41.4955558776855,19.82200050354
"2014-01-06",0.374315232038498,27.6020774841309,29.9082870483398,56.7546157836914,12.3033781051636,31.2910747528076,NA,1.65900003910065,128.737915039062,9.80000019073486,41.2155570983887,19.6814994812012
"2014-01-07",0.380443811416626,28.1341972351074,30.1400680541992,57.4690208435059,12.310658454895,31.6084136962891,NA,1.67700004577637,132.736480712891,9.95733261108398,41.5288887023926,19.9015007019043
"2014-01-08",0.385629415512085,28.1927490234375,29.6019992828369,57.7765960693359,12.4417018890381,31.499849319458,NA,1.67400002479553,133.253875732422,10.0853328704834,42.2733345031738,20.0960006713867
"2014-01-09",0.37125089764595,27.9212532043457,29.4116134643555,56.7744674682617,12.2014579772949,31.4413871765137,NA,1.65799999237061,131.184371948242,9.8353328704834,42.9755554199219,20.050500869751
"2014-01-10",0.370779454708099,27.9197750091553,29.8337936401367,57.4888534545898,12.3033781051636,31.8255405426025,NA,1.69200003147125,132.307830810547,9.71466732025146,46.6833343505859,19.882999420166
"2014-01-13",0.362057954072952,27.741907119751,28.9563312530518,55.474666595459,12.310658454895,31.5248928070068,NA,1.66400003433228,129.284851074219,9.28933334350586,43.6744422912598,19.548999786377
"2014-01-14",0.373372286558151,28.3945789337158,29.6185550689697,57.2904243469238,12.6528224945068,31.9090404510498,NA,1.70299994945526,132.108322143555,10.7513332366943,46.6533317565918,19.8770008087158
"2014-01-15",0.377379387617111,28.3753070831299,30.4297981262207,57.1515007019043,12.7838659286499,32.0760612487793,NA,1.73000001907349,132.692123413086,10.9420003890991,45.8666687011719,19.7935009002686
"2014-01-16",0.378558069467545,28.5630569458008,30.5374126434326,56.7446975708008,13.2133903503418,31.9758605957031,NA,1.79900002479553,132.655197143555,11.3979997634888,46.0433311462402,19.7900009155273
"2014-01-17",0.376908034086227,28.4224948883057,30.1152496337891,55.8616256713867,12.9367485046387,31.9090404510498,NA,1.7960000038147,129.987030029297,11.3339996337891,47.7933311462402,19.9804992675781
"2014-01-21",0.37832236289978,28.7478427886963,29.94140625,58.0544128417969,12.8785085678101,31.8255405426025,NA,1.85000002384186,132.514785766602,11.7786674499512,48.8199996948242,20.3525009155273
"2014-01-22",0.377850949764252,28.7804546356201,29.7427272796631,57.0622024536133,13.0750684738159,31.7169704437256,NA,2.29699993133545,132.278213500977,11.9040002822876,48.7911109924316,20.2269992828369
"2014-01-23",0.376436620950699,28.6589126586914,29.8503513336182,56.1890563964844,12.8857889175415,31.8589515686035,NA,2.19799995422363,134.990829467773,12.1000003814697,48.7777786254883,19.9934997558594
