"Date","NVDA.Open","NVDA.High","NVDA.Low","NVDA.Close","NVDA.Volume","NVDA.Adjusted","GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume","GOOG.Adjusted","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","META.Open","META.High","META.Low","META.Close","META.Volume","META.Adjusted","TSM.Open","TSM.High","TSM.Low","TSM.Close","TSM.Volume","TSM.Adjusted","ORCL.Open","ORCL.High","ORCL.Low","ORCL.Close","ORCL.Volume","ORCL.Adjusted","PLTR.Open","PLTR.High","PLTR.Low","PLTR.Close","PLTR.Volume","PLTR.Adjusted","SMCI.Open","SMCI.High","SMCI.Low","SMCI.Close","SMCI.Volume","SMCI.Adjusted","EQIX.Open","EQIX.High","EQIX.Low","EQIX.Close","EQIX.Volume","EQIX.Adjusted","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
2014-01-02,0.398000001907349,0.399500012397766,0.39300000667572,0.396499991416931,260092000,0.37384369969368,27.7823657989502,27.8394012451172,27.6030368804932,27.7240829467773,73129082,27.4983234405518,37.3499984741211,37.4000015258789,37.0999984741211,37.1599998474121,30632200,30.7609233856201,54.8300018310547,55.2200012207031,54.189998626709,54.7099990844727,43195500,54.2840042114258,17.3899993896484,17.3999996185303,17.1100006103516,17.1499996185303,6029100,12.4853792190552,37.7799987792969,38.0299987792969,37.5499992370605,37.8400001525879,18162100,31.4998455047607,NA,NA,NA,NA,NA,NA,1.7039999961853,1.70500004291534,1.63900005817413,1.64400005340576,2119000,1.64400005340576,177.630004882812,177.630004882812,171.910003662109,174.759994506836,823200,129.166595458984,9.98666667938232,10.1653327941895,9.77000045776367,10.006667137146,92826000,10.006667137146,42.6266670227051,42.6266670227051,42.0299987792969,42.223331451416,4148100,42.223331451416,19.9400005340576,19.9680004119873,19.701000213623,19.8985004425049,42756000,19.8985004425049
2014-01-03,0.39724999666214,0.398000001907349,0.390500009059906,0.391750007867813,259332000,0.369365066289902,27.7709083557129,27.818977355957,27.5200977325439,27.5218410491943,66917888,27.2977275848389,37.2000007629395,37.2200012207031,36.5999984741211,36.9099998474121,31134800,30.5539836883545,55.0200004577637,55.6500015258789,54.5299987792969,54.560001373291,38246200,54.135181427002,17.0799999237061,17.1599998474121,16.9200000762939,16.9500007629395,11362700,12.3397798538208,37.6500015258789,37.8600006103516,37.560001373291,37.6199989318848,11693900,31.4163417816162,NA,NA,NA,NA,NA,NA,1.64600002765656,1.67700004577637,1.6360000371933,1.6710000038147,2399000,1.6710000038147,174.910003662109,175.410003662109,172.649993896484,173.419998168945,419600,128.176193237305,10,10.1459999084473,9.90666675567627,9.97066688537598,70425000,9.97066688537598,42.2611122131348,42.5188903808594,41.4155578613281,41.4955558776855,3105000,41.4955558776855,19.9144992828369,20.1354999542236,19.8110008239746,19.82200050354,44204000,19.82200050354
2014-01-06,0.395749986171722,0.400000005960464,0.391999989748001,0.397000014781952,409492000,0.374315232038498,27.7213439941406,27.8670463562012,27.5577068328857,27.8286914825439,71037271,27.6020793914795,36.8499984741211,36.8899993896484,36.1100006103516,36.1300010681152,43603700,29.9082946777344,54.4199981689453,57.2599983215332,54.0499992370605,57.2000007629395,68852600,56.7546195983887,16.9899997711182,17.0200004577637,16.8600006103516,16.8999996185303,10370200,12.3033761978149,37.6399993896484,37.7999992370605,37.4199981689453,37.4700012207031,15329400,31.291072845459,NA,NA,NA,NA,NA,NA,1.67400002479553,1.69700002670288,1.65100002288818,1.65900003910065,2189000,1.65900003910065,174,174.789993286133,172.559997558594,174.179992675781,573000,128.737945556641,10,10.0266666412354,9.68266677856445,9.80000019073486,80416500,9.80000019073486,41.439998626709,41.9177780151367,41.114444732666,41.2155570983887,3551400,41.2155570983887,19.7924995422363,19.8500003814697,19.4209995269775,19.6814994812012,63412000,19.6814994812012
2014-01-07,0.400999993085861,0.405000001192093,0.398250013589859,0.403499990701675,333288000,0.380443781614304,28.0199737548828,28.3858528137207,27.9243335723877,28.3651790618896,102486711,28.1342029571533,36.3300018310547,36.4900016784668,36.2099990844727,36.4099998474121,35802800,30.1400718688965,57.7000007629395,58.5499992370605,57.2200012207031,57.9199981689453,77207400,57.4690093994141,16.8999996185303,16.9799995422363,16.8299999237061,16.9099998474121,13083100,12.3106555938721,37.6599998474121,37.9300003051758,37.5,37.8499984741211,16792200,31.6083965301514,NA,NA,NA,NA,NA,NA,1.66999995708466,1.71099996566772,1.66999995708466,1.67700004577637,1759000,1.67700004577637,174.800003051758,182.020004272461,173.570007324219,179.589996337891,1347800,132.736526489258,9.84133338928223,10.0266666412354,9.68333339691162,9.95733261108398,75511500,9.95733261108398,41.2655563354492,41.8766670227051,41.1944427490234,41.5288887023926,3492900,41.5288887023926,19.7520008087158,19.9235000610352,19.7145004272461,19.9015007019043,38320000,19.9015007019043
2014-01-08,0.405000001192093,0.41100001335144,0.403499990701675,0.409000009298325,308192000,0.385629594326019,28.5430145263672,28.575891494751,28.2264499664307,28.4242095947266,90036218,28.1927490234375,36,36.1399993896484,35.5800018310547,35.7599983215332,59971700,29.601993560791,57.5999984741211,58.4099998474121,57.2299995422363,58.2299995422363,56682400,57.7765960693359,17.0599994659424,17.1599998474121,17.0499992370605,17.0900001525879,13428900,12.4416990280151,37.7900009155273,37.9099998474121,37.560001373291,37.7200012207031,16111600,31.4998340606689,NA,NA,NA,NA,NA,NA,1.67799997329712,1.68700003623962,1.65499997138977,1.67400002479553,2134000,1.67400002479553,179.679992675781,180.970001220703,178.369995117188,180.289993286133,1091400,133.25390625,9.92333316802979,10.2466669082642,9.91733264923096,10.0853328704834,92448000,10.0853328704834,41.6011123657227,42.2922210693359,41.5633316040039,42.2733345031738,4485600,42.2733345031738,19.9235000610352,20.1499996185303,19.8020000457764,20.0960006713867,46330000,20.0960006713867
2014-01-09,0.402749985456467,0.403499990701675,0.392500013113022,0.393750011920929,292172000,0.371250867843628,28.4792537689209,28.4986801147461,28.0339221954346,28.150484085083,83692529,27.9212532043457,35.8800010681152,35.9099998474121,35.4000015258789,35.5299987792969,36516300,29.4116058349609,58.6500015258789,58.9599990844727,56.6500015258789,57.2200012207031,92253300,56.774471282959,16.9699993133545,16.9899997711182,16.6599998474121,16.7600002288818,9422200,12.2014570236206,37.8499984741211,37.8499984741211,37.4599990844727,37.6500015258789,13623500,31.4413871765137,NA,NA,NA,NA,NA,NA,1.67999994754791,1.68099999427795,1.62899994850159,1.65799999237061,1884000,1.65799999237061,180.080001831055,180.679992675781,176.009994506836,177.490005493164,532300,131.184371948242,10.1666669845581,10.2286672592163,9.78999996185303,9.8353328704834,80730000,9.8353328704834,42.3188896179199,43.3166656494141,42.189998626709,42.9755554199219,5029200,42.9755554199219,20.1854991912842,20.3444995880127,19.9220008850098,20.050500869751,42060000,20.050500869751
2014-01-10,0.395000010728836,0.397749990224838,0.389750003814697,0.393249988555908,218492000,0.370779424905777,28.3706607818604,28.3706607818604,27.9514808654785,28.1489906311035,86061375,27.919771194458,35.9000015258789,36.1500015258789,35.75,36.0400009155273,40548800,29.8337955474854,57.1300010681152,58.2999992370605,57.060001373291,57.939998626709,42449500,57.4888496398926,16.8400001525879,17.0100002288818,16.8199996948242,16.8999996185303,11148000,12.3033761978149,37.75,38.1399993896484,37.5900001525879,38.1100006103516,15402900,31.8255424499512,NA,NA,NA,NA,NA,NA,1.66100001335144,1.69799995422363,1.64300000667572,1.69200003147125,1536000,1.69200003147125,177.940002441406,179.130004882812,176.520004272461,179.009994506836,599600,132.307830810547,9.8973331451416,9.92666721343994,9.48333263397217,9.71466732025146,111691500,9.71466732025146,42.9411125183105,47.1755561828613,42.8077774047852,46.6833343505859,13465800,46.6833343505859,20.1264991760254,20.1879997253418,19.6900005340576,19.882999420166,53590000,19.882999420166
2014-01-13,0.393249988555908,0.395749986171722,0.383249998092651,0.38400000333786,243332000,0.362058013677597,28.0565872192383,28.5656795501709,27.8249549865723,27.9696636199951,97118665,27.7419052124023,35.9900016784668,36.0200004577637,34.8300018310547,34.9799995422363,45901900,28.9563255310059,57.9099998474121,58.25,55.3800010681152,55.9099998474121,63010900,55.4746627807617,17.0100002288818,17.1399993896484,16.8999996185303,16.9099998474121,10286100,12.3106555938721,37.9500007629395,38.2000007629395,37.7000007629395,37.75,20848300,31.5249080657959,NA,NA,NA,NA,NA,NA,1.69099998474121,1.70500004291534,1.65100002288818,1.66400003433228,1373000,1.66400003433228,179.820007324219,179.940002441406,174.729995727539,174.919998168945,931900,129.284866333008,9.71866703033447,9.80000019073486,9.1879997253418,9.28933334350586,94741500,9.28933334350586,45.7855567932129,46.0833320617676,43.5577774047852,43.6744422912598,9817200,43.6744422912598,19.8990001678467,19.9890003204346,19.4225006103516,19.548999786377,56898000,19.548999786377
2014-01-14,0.386000007390976,0.396750003099442,0.384249985218048,0.395999997854233,241828000,0.373372286558151,28.3425159454346,28.6675472259521,28.0969352722168,28.6276950836182,99676216,28.3945808410645,34.7299995422363,35.8800010681152,34.6300010681152,35.7799987792969,41623300,29.6185626983643,56.4599990844727,57.7799987792969,56.0999984741211,57.7400016784668,37503600,57.2904205322266,17.0599994659424,17.3899993896484,17.0400009155273,17.3799991607666,13334500,12.6528263092041,37.7799987792969,38.25,37.7099990844727,38.2099990844727,13486400,31.9090366363525,NA,NA,NA,NA,NA,NA,1.67900002002716,1.70500004291534,1.67900002002716,1.70299994945526,1663000,1.70299994945526,175.410003662109,179.279998779297,175.110000610352,178.740005493164,710200,132.108306884766,9.36666679382324,10.8000001907349,9.11133289337158,10.7513332366943,414105000,10.7513332366943,48.9477767944336,49.3322219848633,46.2155570983887,46.6533317565918,17811000,46.6533317565918,19.6065006256104,19.9314994812012,19.5645008087158,19.8770008087158,46802000,19.8770008087158
2014-01-15,0.397749990224838,0.40174999833107,0.395999997854233,0.400249987840652,175044000,0.377379417419434,28.7171115875244,28.7671737670898,28.4879703521729,28.608268737793,78300393,28.3753089904785,35.9000015258789,36.7900009155273,35.8499984741211,36.7599983215332,44812600,30.429801940918,57.9799995422363,58.5699996948242,57.2700004577637,57.5999984741211,33663400,57.151496887207,17.4799995422363,17.7000007629395,17.4300003051758,17.5599994659424,15510900,12.7838649749756,38.2000007629395,38.5699996948242,38.1199989318848,38.4099998474121,17010900,32.0760688781738,NA,NA,NA,NA,NA,NA,1.7039999961853,1.74399995803833,1.70200002193451,1.73000001907349,5425000,1.73000001907349,178.570007324219,181.009994506836,178.330001831055,179.529998779297,763000,132.692153930664,11.2299995422363,11.4820003509521,10.8066673278809,10.9420003890991,306984000,10.9420003890991,46.728889465332,46.7866668701172,44.6866683959961,45.8666687011719,8755200,45.8666687011719,19.94700050354,19.9654998779297,19.6264991760254,19.7935009002686,53566000,19.7935009002686
